construct_1,construct_2,correlation
Activity-Level,Friendliness,0.27438220391986784
Adventurousness,Friendliness,0.33165265025798846
Cooperation,Friendliness,0.1762279493909062
Achievement-Striving,Friendliness,0.26565961078302824
Immoderation,Friendliness,-0.07537410270580906
Excitement-Seeking,Friendliness,0.32763076052821416
Intellect,Friendliness,-0.010921952557274704
Modesty/Humility,Friendliness,-0.25076272725039594
Self-Discipline,Friendliness,0.25055128339598476
Vulnerability,Friendliness,-0.2873248852072199
Cheerfulness,Friendliness,0.6377471940082725
Liberalism,Friendliness,-0.0994294027170327
Sympathy,Friendliness,0.23757014490823325
Cautiousness,Friendliness,-0.06270320638850133
Anxiety,Imagination,0.061749467615082
Friendliness,Imagination,-0.019868372184769893
Imagination,Imagination,1
Trust,Imagination,-0.008334198118059116
Self-Efficacy,Imagination,-0.021021034639288838
Anger,Imagination,0.05619542053027429
Gregariousness,Imagination,-0.019352479547917974
Aesthetic Appreciation/Artistic Interests,Imagination,0.3678889756248101
Morality,Imagination,-0.1248842636279923
Orderliness,Imagination,-0.25910047426125926
Depression,Imagination,0.14117137430318802
Assertiveness,Imagination,0.0546351938170171
Emotionality,Imagination,0.3309908809762392
Altruism,Imagination,0.05904917229885015
Dutifulness,Imagination,-0.16271457510999274
Self-consciousness,Imagination,0.025525159646383976
Activity-Level,Imagination,-0.1305465723405435
Adventurousness,Imagination,0.24780578682016463
Cooperation,Imagination,-0.08980482912665451
Achievement-Striving,Imagination,-0.08699290247896976
Immoderation,Imagination,0.1919595314813972
Excitement-Seeking,Imagination,0.2515163664480402
Intellect,Imagination,0.4218804164040717
Modesty/Humility,Imagination,-0.13765759285944135
Self-Discipline,Imagination,-0.24546711208019387
Vulnerability,Imagination,0.06160057981871681
Cheerfulness,Imagination,0.20803712941450483
Liberalism,Imagination,0.23360077770352333
Sympathy,Imagination,0.1338372687807068
Cautiousness,Imagination,-0.24162944292275287
Anxiety,Trust,-0.30365968943613253
Friendliness,Trust,0.5117200838850933
Imagination,Trust,-0.008334198118059116
Trust,Trust,1
Self-Efficacy,Trust,0.2706204888310132
Anger,Trust,-0.3954143384130741
Gregariousness,Trust,0.35892866812741314
Aesthetic Appreciation/Artistic Interests,Trust,0.1833995510841753
Morality,Trust,0.3100367888524833
Orderliness,Trust,0.030848395261984237
Depression,Trust,-0.3994994683036057
Assertiveness,Trust,0.13568792071952704
Emotionality,Trust,0.08477398705480503
Altruism,Trust,0.5020784950177665
Dutifulness,Trust,0.29984842244983945
Self-consciousness,Trust,-0.20920323632598087
Activity-Level,Trust,0.061763235276134094
Adventurousness,Trust,0.19762057270442027
Cooperation,Trust,0.4374775865364883
Achievement-Striving,Trust,0.17274436613120311
Immoderation,Trust,-0.12086318751038348
Excitement-Seeking,Trust,0.04498989877480266
Intellect,Trust,0.030293426326508707
Modesty/Humility,Trust,-0.05538443075761127
Self-Discipline,Trust,0.15755925993185146
Vulnerability,Trust,-0.24276780462428102
Cheerfulness,Trust,0.45364022306653823
Liberalism,Trust,0.02344188477264441
Sympathy,Trust,0.3616625767552971
Cautiousness,Trust,0.09037363973416736
Anxiety,Self-Efficacy,-0.453876557803782
Friendliness,Self-Efficacy,0.3420988526540416
Imagination,Self-Efficacy,-0.021021034639288838
Trust,Self-Efficacy,0.2706204888310132
Self-Efficacy,Self-Efficacy,1
Anger,Self-Efficacy,-0.3647926076337223
Gregariousness,Self-Efficacy,0.17025097292749033
Aesthetic Appreciation/Artistic Interests,Self-Efficacy,0.15072726556120086
Morality,Self-Efficacy,0.22649363514983162
Orderliness,Self-Efficacy,0.2990708848934566
Depression,Self-Efficacy,-0.5852921417813638
Assertiveness,Self-Efficacy,0.4857579268762567
Emotionality,Self-Efficacy,0.01490070973608702
Altruism,Self-Efficacy,0.31127556299183595
Dutifulness,Self-Efficacy,0.5091612317639291
Self-consciousness,Self-Efficacy,-0.5049866634242368
Activity-Level,Self-Efficacy,0.4153602041318466
Adventurousness,Self-Efficacy,0.29368553938485115
Cooperation,Self-Efficacy,0.13599148401194558
Achievement-Striving,Self-Efficacy,0.6810500306148274
Immoderation,Self-Efficacy,-0.38087655006566307
Excitement-Seeking,Self-Efficacy,-0.02155395978826304
Intellect,Self-Efficacy,0.389111882264005
Modesty/Humility,Self-Efficacy,-0.29891722255725617
Self-Discipline,Self-Efficacy,0.595653015351936
Vulnerability,Self-Efficacy,-0.6494413934088603
Cheerfulness,Self-Efficacy,0.29744488878206504
Liberalism,Self-Efficacy,-0.12407042710105372
Sympathy,Self-Efficacy,0.026128334571517565
Cautiousness,Self-Efficacy,0.4449479245339433
Anxiety,Anger,0.6233465666890479
Friendliness,Anger,-0.2801051467105564
Imagination,Anger,0.05619542053027429
Trust,Anger,-0.3954143384130741
Self-Efficacy,Anger,-0.3647926076337223
Anger,Anger,0.9999999999999999
Gregariousness,Anger,-0.1541326858312472
Aesthetic Appreciation/Artistic Interests,Anger,-0.09417555613753936
Morality,Anger,-0.26761463354855825
Orderliness,Anger,-0.018533002391204867
Depression,Anger,0.5337354729067766
Assertiveness,Anger,-0.030149037487990384
Emotionality,Anger,0.24907276420145513
Altruism,Anger,-0.3297787985715688
Dutifulness,Anger,-0.3122196522789437
Self-consciousness,Anger,0.30252430545251763
Activity-Level,Anger,0.011251157677751979
Adventurousness,Anger,-0.24659362105184393
Cooperation,Anger,-0.5399784651688225
Achievement-Striving,Anger,-0.16917992225815343
Immoderation,Anger,0.3961643967699634
Excitement-Seeking,Anger,0.01831008124337858
Intellect,Anger,-0.1466396062052152
Modesty/Humility,Anger,0.014338129125012256
Self-Discipline,Anger,-0.23100458634864057
Vulnerability,Anger,0.5584036886309813
Cheerfulness,Anger,-0.29579633585459936
Liberalism,Anger,-9.790172711978242e-4
Sympathy,Anger,-0.16534191257926076
Cautiousness,Anger,-0.3033613041190787
Anxiety,Gregariousness,-0.2404274711198116
Friendliness,Gregariousness,0.751993255047638
Imagination,Gregariousness,-0.019352479547917974
Trust,Gregariousness,0.35892866812741314
Self-Efficacy,Gregariousness,0.17025097292749033
Anger,Gregariousness,-0.1541326858312472
Gregariousness,Gregariousness,0.9999999999999999
Aesthetic Appreciation/Artistic Interests,Gregariousness,0.1627237702622204
Morality,Gregariousness,-0.06802048242234184
Orderliness,Gregariousness,-0.03937093553477937
Depression,Gregariousness,-0.3566402780152122
Assertiveness,Gregariousness,0.505891491136501
Emotionality,Gregariousness,0.09967262376197701
Altruism,Gregariousness,0.35287526073994446
Dutifulness,Gregariousness,-0.0030875920088427856
Self-consciousness,Gregariousness,-0.49206072687945673
Activity-Level,Gregariousness,0.2633481113742759
Adventurousness,Gregariousness,0.3512629507435519
Cooperation,Gregariousness,-0.011075740594474368
Achievement-Striving,Gregariousness,0.1463251304840461
Immoderation,Gregariousness,0.03396217894091806
Excitement-Seeking,Gregariousness,0.5447395756768205
Intellect,Gregariousness,-0.0862515772539241
Modesty/Humility,Gregariousness,-0.29208320647295766
Self-Discipline,Gregariousness,0.1261837702778515
Vulnerability,Gregariousness,-0.17420055135670026
Cheerfulness,Gregariousness,0.5449114119699473
Liberalism,Gregariousness,-0.06031648226254581
Sympathy,Gregariousness,0.093176553479579
Cautiousness,Gregariousness,-0.24295069788878904
Anxiety,Aesthetic Appreciation/Artistic Interests,0.00215442667410357
Friendliness,Aesthetic Appreciation/Artistic Interests,0.20570692067962523
Imagination,Aesthetic Appreciation/Artistic Interests,0.3678889756248101
Trust,Aesthetic Appreciation/Artistic Interests,0.1833995510841753
Self-Efficacy,Aesthetic Appreciation/Artistic Interests,0.15072726556120086
Anger,Aesthetic Appreciation/Artistic Interests,-0.09417555613753936
Gregariousness,Aesthetic Appreciation/Artistic Interests,0.1627237702622204
Aesthetic Appreciation/Artistic Interests,Aesthetic Appreciation/Artistic Interests,0.9999999999999999
Morality,Aesthetic Appreciation/Artistic Interests,0.2029554578559865
Orderliness,Aesthetic Appreciation/Artistic Interests,-0.014464594112002785
Depression,Aesthetic Appreciation/Artistic Interests,-0.027054417719225926
Assertiveness,Aesthetic Appreciation/Artistic Interests,0.1313435952654875
Emotionality,Aesthetic Appreciation/Artistic Interests,0.42047430761602034
Altruism,Aesthetic Appreciation/Artistic Interests,0.37549370296520473
Dutifulness,Aesthetic Appreciation/Artistic Interests,0.1312692301170805
Self-consciousness,Aesthetic Appreciation/Artistic Interests,-0.10040609691117416
Activity-Level,Aesthetic Appreciation/Artistic Interests,0.05649675339710419
Adventurousness,Aesthetic Appreciation/Artistic Interests,0.3686387298225482
Cooperation,Aesthetic Appreciation/Artistic Interests,0.17953084790588048
Achievement-Striving,Aesthetic Appreciation/Artistic Interests,0.14671247908412888
Immoderation,Aesthetic Appreciation/Artistic Interests,0.04047471306855229
Excitement-Seeking,Aesthetic Appreciation/Artistic Interests,0.12897272335304513
Intellect,Aesthetic Appreciation/Artistic Interests,0.40141855128293935
Modesty/Humility,Aesthetic Appreciation/Artistic Interests,-0.011529947777218304
Self-Discipline,Aesthetic Appreciation/Artistic Interests,0.040798522943533304
Vulnerability,Aesthetic Appreciation/Artistic Interests,-0.018474907920228874
Cheerfulness,Aesthetic Appreciation/Artistic Interests,0.2816226388544328
Liberalism,Aesthetic Appreciation/Artistic Interests,0.24899880899429291
Sympathy,Aesthetic Appreciation/Artistic Interests,0.39005181319791427
Cautiousness,Aesthetic Appreciation/Artistic Interests,-0.003962790042790679
Anxiety,Morality,-0.02323403733378025
Friendliness,Morality,0.1230959988105213
Imagination,Morality,-0.1248842636279923
Trust,Morality,0.3100367888524833
Self-Efficacy,Morality,0.22649363514983162
Anger,Morality,-0.26761463354855825
Gregariousness,Morality,-0.06802048242234184
Aesthetic Appreciation/Artistic Interests,Morality,0.2029554578559865
Morality,Morality,0.9999999999999999
Orderliness,Morality,0.2540431509512668
Depression,Morality,-0.16057245816810656
Assertiveness,Morality,-0.2056915096386985
Emotionality,Morality,0.12266395215979249
Altruism,Morality,0.49121621458224424
Dutifulness,Morality,0.6998716002811595
Self-consciousness,Morality,0.08435286757865358
Activity-Level,Morality,0.021023243159349128
Adventurousness,Morality,-0.009990170196060489
Cooperation,Morality,0.5947370535871817
Achievement-Striving,Morality,0.24510425862484836
Immoderation,Morality,-0.29833645567553263
Excitement-Seeking,Morality,-0.3748258395772821
Intellect,Morality,0.02761524639799264
Modesty/Humility,Morality,0.3752309629995838
Self-Discipline,Morality,0.2903824011037556
Vulnerability,Morality,-0.07415898514330342
Cheerfulness,Morality,0.05800242123073087
Liberalism,Morality,-0.12901380178275546
Sympathy,Morality,0.427936181404402
Cautiousness,Morality,0.44216508930849924
Anxiety,Orderliness,0.06561822105930795
Friendliness,Orderliness,0.05896303503871352
Imagination,Orderliness,-0.25910047426125926
Trust,Orderliness,0.030848395261984237
Self-Efficacy,Orderliness,0.2990708848934566
Anger,Orderliness,-0.018533002391204867
Gregariousness,Orderliness,-0.03937093553477937
Aesthetic Appreciation/Artistic Interests,Orderliness,-0.014464594112002785
Morality,Orderliness,0.2540431509512668
Orderliness,Orderliness,1
Depression,Orderliness,-0.15141521048626283
Assertiveness,Orderliness,0.07712892665876854
Emotionality,Orderliness,0.00925217043430972
Altruism,Orderliness,0.125415826261063
Dutifulness,Orderliness,0.43702643964106314
Self-consciousness,Orderliness,9.459925343668704e-4
Activity-Level,Orderliness,0.26731044760360206
Adventurousness,Orderliness,-0.21883830385482844
Cooperation,Orderliness,0.15233598595616152
Achievement-Striving,Orderliness,0.42372874970464336
Immoderation,Orderliness,-0.22984245641964118
Excitement-Seeking,Orderliness,-0.2592833940752609
Intellect,Orderliness,-0.10750218870172253
Modesty/Humility,Orderliness,0.050571995059755286
Self-Discipline,Orderliness,0.5681747478148322
Vulnerability,Orderliness,-0.059210089089048484
Cheerfulness,Orderliness,-0.06330361523595783
Liberalism,Orderliness,-0.269145953098831
Sympathy,Orderliness,-0.023606219087989388
Cautiousness,Orderliness,0.43317459118063384
Anxiety,Depression,0.6597488182425104
Friendliness,Depression,-0.4847609620534617
Imagination,Depression,0.14117137430318802
Trust,Depression,-0.3994994683036057
Self-Efficacy,Depression,-0.5852921417813638
Anger,Depression,0.5337354729067766
Gregariousness,Depression,-0.3566402780152122
Aesthetic Appreciation/Artistic Interests,Depression,-0.027054417719225926
Morality,Depression,-0.16057245816810656
Orderliness,Depression,-0.15141521048626283
Depression,Depression,1
Assertiveness,Depression,-0.39168872610269634
Emotionality,Depression,0.2185249455171644
Altruism,Depression,-0.2504682031924773
Dutifulness,Depression,-0.3288931568726103
Self-consciousness,Depression,0.5757741067565123
Activity-Level,Depression,-0.2455962066298678
Adventurousness,Depression,-0.2740570691202538
Cooperation,Depression,-0.20012917448622694
Achievement-Striving,Depression,-0.4025393200927558
Immoderation,Depression,0.41438114537692294
Excitement-Seeking,Depression,-0.08223092979252017
Intellect,Depression,-0.0790913299533121
Modesty/Humility,Depression,0.3458702298842581
Self-Discipline,Depression,-0.4365594803424815
Vulnerability,Depression,0.6588227393427794
Cheerfulness,Depression,-0.49204131204710255
Liberalism,Depression,0.14463968769326407
Sympathy,Depression,0.026902050116042183
Cautiousness,Depression,-0.2555696000045557
Anxiety,Assertiveness,-0.2781973847466097
Friendliness,Assertiveness,0.5336699432955114
Imagination,Assertiveness,0.0546351938170171
Trust,Assertiveness,0.13568792071952704
Self-Efficacy,Assertiveness,0.4857579268762567
Anger,Assertiveness,-0.030149037487990384
Gregariousness,Assertiveness,0.505891491136501
Aesthetic Appreciation/Artistic Interests,Assertiveness,0.1313435952654875
Morality,Assertiveness,-0.2056915096386985
Orderliness,Assertiveness,0.07712892665876854
Depression,Assertiveness,-0.39168872610269634
Assertiveness,Assertiveness,1
Emotionality,Assertiveness,0.15376960185138297
Altruism,Assertiveness,0.17693326532755557
Dutifulness,Assertiveness,0.0346557305335451
Self-consciousness,Assertiveness,-0.6730595383922017
Activity-Level,Assertiveness,0.47084624418711635
Adventurousness,Assertiveness,0.3573615084301935
Cooperation,Assertiveness,-0.28796890181070955
Achievement-Striving,Assertiveness,0.42941917877712305
Immoderation,Assertiveness,-0.02796384446528201
Excitement-Seeking,Assertiveness,0.3558451111673293
Intellect,Assertiveness,0.23230995381495667
Modesty/Humility,Assertiveness,-0.5651725985171193
Self-Discipline,Assertiveness,0.29760469193864725
Vulnerability,Assertiveness,-0.3796761873066941
Cheerfulness,Assertiveness,0.3952485075337561
Liberalism,Assertiveness,-0.06633900805200306
Sympathy,Assertiveness,-0.07867263357299897
Cautiousness,Assertiveness,-0.08986648824844701
Anxiety,Emotionality,0.3876356556694758
Friendliness,Emotionality,0.1719971724169598
Imagination,Emotionality,0.3309908809762392
Trust,Emotionality,0.08477398705480503
Self-Efficacy,Emotionality,0.01490070973608702
Anger,Emotionality,0.24907276420145513
Gregariousness,Emotionality,0.09967262376197701
Aesthetic Appreciation/Artistic Interests,Emotionality,0.42047430761602034
Morality,Emotionality,0.12266395215979249
Orderliness,Emotionality,0.00925217043430972
Depression,Emotionality,0.2185249455171644
Assertiveness,Emotionality,0.15376960185138297
Emotionality,Emotionality,1
Altruism,Emotionality,0.40445696667318604
Dutifulness,Emotionality,0.07840814506721588
Self-consciousness,Emotionality,0.07068860326865274
Activity-Level,Emotionality,0.07740436677016713
Adventurousness,Emotionality,0.10848063148853454
Cooperation,Emotionality,0.03056811791025672
Achievement-Striving,Emotionality,0.10452667137913825
Immoderation,Emotionality,0.2093740169879777
Excitement-Seeking,Emotionality,0.035487287589856864
Intellect,Emotionality,0.2045831252207076
Modesty/Humility,Emotionality,-0.05187646395321225
Self-Discipline,Emotionality,-0.05042580957334797
Vulnerability,Emotionality,0.31577947828890096
Cheerfulness,Emotionality,0.17417564416107056
Liberalism,Emotionality,0.15911063135631864
Sympathy,Emotionality,0.4386239681904673
Cautiousness,Emotionality,-0.09081514735835962
Anxiety,Altruism,-0.09543539250580867
Friendliness,Altruism,0.5754911670855166
Imagination,Altruism,0.05904917229885015
Trust,Altruism,0.5020784950177665
Self-Efficacy,Altruism,0.31127556299183595
Anger,Altruism,-0.3297787985715688
Gregariousness,Altruism,0.35287526073994446
Aesthetic Appreciation/Artistic Interests,Altruism,0.37549370296520473
Morality,Altruism,0.49121621458224424
Orderliness,Altruism,0.125415826261063
Depression,Altruism,-0.2504682031924773
Assertiveness,Altruism,0.17693326532755557
Emotionality,Altruism,0.40445696667318604
Altruism,Altruism,1
Dutifulness,Altruism,0.4634489675980881
Self-consciousness,Altruism,-0.1684561341074541
Activity-Level,Altruism,0.15965223993546426
Adventurousness,Altruism,0.2229881682633658
Cooperation,Altruism,0.4978373282810769
Achievement-Striving,Altruism,0.2970563438955377
Immoderation,Altruism,-0.11347210614238568
Excitement-Seeking,Altruism,0.03368606926755794
Intellect,Altruism,0.10053742242758443
Modesty/Humility,Altruism,0.13111660655381785
Self-Discipline,Altruism,0.23752525480649717
Vulnerability,Altruism,-0.1326802255818848
Cheerfulness,Altruism,0.4643274628371347
Liberalism,Altruism,-0.012385104182800678
Sympathy,Altruism,0.6308786106033472
Cautiousness,Altruism,0.15802698067920368
Anxiety,Dutifulness,-0.13530270081763615
Friendliness,Dutifulness,0.1977834017609007
Imagination,Dutifulness,-0.16271457510999274
Trust,Dutifulness,0.29984842244983945
Self-Efficacy,Dutifulness,0.5091612317639291
Anger,Dutifulness,-0.3122196522789437
Gregariousness,Dutifulness,-0.0030875920088427856
Aesthetic Appreciation/Artistic Interests,Dutifulness,0.1312692301170805
Morality,Dutifulness,0.6998716002811595
Orderliness,Dutifulness,0.43702643964106314
Depression,Dutifulness,-0.3288931568726103
Assertiveness,Dutifulness,0.0346557305335451
Emotionality,Dutifulness,0.07840814506721588
Altruism,Dutifulness,0.4634489675980881
Dutifulness,Dutifulness,0.9999999999999999
Self-consciousness,Dutifulness,-0.08425992763806767
Activity-Level,Dutifulness,0.21289145609096571
Adventurousness,Dutifulness,-0.0016597480777573396
Cooperation,Dutifulness,0.46637981286939084
Achievement-Striving,Dutifulness,0.5069043035108972
Immoderation,Dutifulness,-0.41597981517014515
Excitement-Seeking,Dutifulness,-0.33711942104883774
Intellect,Dutifulness,0.0947851496115135
Modesty/Humility,Dutifulness,0.1532307593763987
Self-Discipline,Dutifulness,0.526021904578609
Vulnerability,Dutifulness,-0.2682186326911823
Cheerfulness,Dutifulness,0.11767097358278879
Liberalism,Dutifulness,-0.23773707146084097
Sympathy,Dutifulness,0.2541277917593439
Cautiousness,Dutifulness,0.5800254577530038
Anxiety,Self-consciousness,0.5964274744516012
Friendliness,Self-consciousness,-0.5805477652271828
Imagination,Self-consciousness,0.025525159646383976
Trust,Self-consciousness,-0.20920323632598087
Self-Efficacy,Self-consciousness,-0.5049866634242368
Anger,Self-consciousness,0.30252430545251763
Gregariousness,Self-consciousness,-0.49206072687945673
Aesthetic Appreciation/Artistic Interests,Self-consciousness,-0.10040609691117416
Morality,Self-consciousness,0.08435286757865358
Orderliness,Self-consciousness,9.459925343668704e-4
Depression,Self-consciousness,0.5757741067565123
Assertiveness,Self-consciousness,-0.6730595383922017
Emotionality,Self-consciousness,0.07068860326865274
Altruism,Self-consciousness,-0.1684561341074541
Dutifulness,Self-consciousness,-0.08425992763806767
Self-consciousness,Self-consciousness,1
Activity-Level,Self-consciousness,-0.3323813026561065
Adventurousness,Self-consciousness,-0.44793530872189535
Cooperation,Self-consciousness,0.12741435513986837
Achievement-Striving,Self-consciousness,-0.319777592216257
Immoderation,Self-consciousness,0.22476779108317949
Excitement-Seeking,Self-consciousness,-0.33468730602442376
Intellect,Self-consciousness,-0.21961771982798722
Modesty/Humility,Self-consciousness,0.4520601472851979
Self-Discipline,Self-consciousness,-0.32562258477736705
Vulnerability,Self-consciousness,0.6096058595026994
Cheerfulness,Self-consciousness,-0.38887229665802214
Liberalism,Self-consciousness,0.050197596323316475
Sympathy,Self-consciousness,0.1025840967112254
Cautiousness,Self-consciousness,0.0096333981638758
Anxiety,Activity-Level,-0.08169376835675746
Friendliness,Activity-Level,0.27438220391986784
Imagination,Activity-Level,-0.1305465723405435
Trust,Activity-Level,0.061763235276134094
Self-Efficacy,Activity-Level,0.4153602041318466
Anger,Activity-Level,0.011251157677751979
Gregariousness,Activity-Level,0.2633481113742759
Aesthetic Appreciation/Artistic Interests,Activity-Level,0.05649675339710419
Morality,Activity-Level,0.021023243159349128
Orderliness,Activity-Level,0.26731044760360206
Depression,Activity-Level,-0.2455962066298678
Assertiveness,Activity-Level,0.47084624418711635
Emotionality,Activity-Level,0.07740436677016713
Altruism,Activity-Level,0.15965223993546426
Dutifulness,Activity-Level,0.21289145609096571
Self-consciousness,Activity-Level,-0.3323813026561065
Activity-Level,Activity-Level,1
Adventurousness,Activity-Level,0.23771660890342777
Cooperation,Activity-Level,-0.09987599171028493
Achievement-Striving,Activity-Level,0.5561884571903665
Immoderation,Activity-Level,-0.13389715333100644
Excitement-Seeking,Activity-Level,0.13916111109965829
Intellect,Activity-Level,0.10785030080222115
Modesty/Humility,Activity-Level,-0.18268123887687543
Self-Discipline,Activity-Level,0.5267167255345411
Vulnerability,Activity-Level,-0.23351111807033517
Cheerfulness,Activity-Level,0.13499489998129086
Liberalism,Activity-Level,-0.14069500803783205
Sympathy,Activity-Level,-0.04599170940630882
Cautiousness,Activity-Level,0.06647867531430648
Anxiety,Adventurousness,-0.39147340816366855
Friendliness,Adventurousness,0.33165265025798846
Imagination,Adventurousness,0.24780578682016463
Trust,Adventurousness,0.19762057270442027
Self-Efficacy,Adventurousness,0.29368553938485115
Anger,Adventurousness,-0.24659362105184393
Gregariousness,Adventurousness,0.3512629507435519
Aesthetic Appreciation/Artistic Interests,Adventurousness,0.3686387298225482
Morality,Adventurousness,-0.009990170196060489
Orderliness,Adventurousness,-0.21883830385482844
Depression,Adventurousness,-0.2740570691202538
Assertiveness,Adventurousness,0.3573615084301935
Emotionality,Adventurousness,0.10848063148853454
Altruism,Adventurousness,0.2229881682633658
Dutifulness,Adventurousness,-0.0016597480777573396
Self-consciousness,Adventurousness,-0.44793530872189535
Activity-Level,Adventurousness,0.23771660890342777
Adventurousness,Adventurousness,1
Cooperation,Adventurousness,0.04025694216659387
Achievement-Striving,Adventurousness,0.20748715596867132
Immoderation,Adventurousness,-0.051162774295579944
Excitement-Seeking,Adventurousness,0.420886760802944
Intellect,Adventurousness,0.38486445376852507
Modesty/Humility,Adventurousness,-0.21119311376041872
Self-Discipline,Adventurousness,0.1124145018296553
Vulnerability,Adventurousness,-0.365071113182511
Cheerfulness,Adventurousness,0.32394019648075006
Liberalism,Adventurousness,0.22807861085069514
Sympathy,Adventurousness,0.1309914210387208
Cautiousness,Adventurousness,-0.16108105439167972
Anxiety,Cooperation,-0.13643301119290743
Friendliness,Cooperation,0.1762279493909062
Imagination,Cooperation,-0.08980482912665451
Trust,Cooperation,0.4374775865364883
Self-Efficacy,Cooperation,0.13599148401194558
Anger,Cooperation,-0.5399784651688225
Gregariousness,Cooperation,-0.011075740594474368
Aesthetic Appreciation/Artistic Interests,Cooperation,0.17953084790588048
Morality,Cooperation,0.5947370535871817
Orderliness,Cooperation,0.15233598595616152
Depression,Cooperation,-0.20012917448622694
Assertiveness,Cooperation,-0.28796890181070955
Emotionality,Cooperation,0.03056811791025672
Altruism,Cooperation,0.4978373282810769
Dutifulness,Cooperation,0.46637981286939084
Self-consciousness,Cooperation,0.12741435513986837
Activity-Level,Cooperation,-0.09987599171028493
Adventurousness,Cooperation,0.04025694216659387
Cooperation,Cooperation,0.9999999999999998
Achievement-Striving,Cooperation,0.09713804339058114
Immoderation,Cooperation,-0.24339942755182162
Excitement-Seeking,Cooperation,-0.30816772936836695
Intellect,Cooperation,-0.02962200694642961
Modesty/Humility,Cooperation,0.3178143558924275
Self-Discipline,Cooperation,0.16969542881918495
Vulnerability,Cooperation,-0.09520052425977647
Cheerfulness,Cooperation,0.14455401980171212
Liberalism,Cooperation,-0.008315083600731783
Sympathy,Cooperation,0.45174925792879905
Cautiousness,Cooperation,0.3701636189020912
Anxiety,Achievement-Striving,-0.18220829240539624
Friendliness,Achievement-Striving,0.26565961078302824
Imagination,Achievement-Striving,-0.08699290247896976
Trust,Achievement-Striving,0.17274436613120311
Self-Efficacy,Achievement-Striving,0.6810500306148274
Anger,Achievement-Striving,-0.16917992225815343
Gregariousness,Achievement-Striving,0.1463251304840461
Aesthetic Appreciation/Artistic Interests,Achievement-Striving,0.14671247908412888
Morality,Achievement-Striving,0.24510425862484836
Orderliness,Achievement-Striving,0.42372874970464336
Depression,Achievement-Striving,-0.4025393200927558
Assertiveness,Achievement-Striving,0.42941917877712305
Emotionality,Achievement-Striving,0.10452667137913825
Altruism,Achievement-Striving,0.2970563438955377
Dutifulness,Achievement-Striving,0.5069043035108972
Self-consciousness,Achievement-Striving,-0.319777592216257
Activity-Level,Achievement-Striving,0.5561884571903665
Adventurousness,Achievement-Striving,0.20748715596867132
Cooperation,Achievement-Striving,0.09713804339058114
Achievement-Striving,Achievement-Striving,0.9999999999999999
Immoderation,Achievement-Striving,-0.2692635966434106
Excitement-Seeking,Achievement-Striving,-0.024750850037191637
Intellect,Achievement-Striving,0.2363285246201139
Modesty/Humility,Achievement-Striving,-0.17922898299879117
Self-Discipline,Achievement-Striving,0.6920321717764144
Vulnerability,Achievement-Striving,-0.3770093169666413
Cheerfulness,Achievement-Striving,0.20205094708013024
Liberalism,Achievement-Striving,-0.19531623731237893
Sympathy,Achievement-Striving,0.039370331098953874
Cautiousness,Achievement-Striving,0.35538457786197675
Anxiety,Immoderation,0.3515923979934669
Friendliness,Immoderation,-0.07537410270580906
Imagination,Immoderation,0.1919595314813972
Trust,Immoderation,-0.12086318751038348
Self-Efficacy,Immoderation,-0.38087655006566307
Anger,Immoderation,0.3961643967699634
Gregariousness,Immoderation,0.03396217894091806
