text,labels
"Polycystic ovary syndrome. Polycystic ovary syndrome (PCOS) is a common condition that affects how a woman's ovaries work.The 3 main features of PCOS are:irregular periods – which means your ovaries do not regularly release eggs (ovulation)excess androgen – high levels of ""male"" hormones in your body, which may cause physical signs such as excess facial or body hairpolycystic ovaries – your ovaries become enlarged and contain many fluid-filled sacs (follicles) that surround the eggs (but despite the name, you do not actually have cysts if you have PCOS)If you have at least 2 of these features, you may be diagnosed with PCOS.",37.0
"Androgen insensitivity syndrome. Androgen insensitivity syndrome (AIS) is a rare condition that affects the development of a child's genitals and reproductive organs.A child born with AIS is genetically male, but the external appearance of their genitals may be female or somewhere between male and female.Someone with AIS may benefit from psychological support, and in some cases may have treatment to alter the appearance of their genitals. Most people born with the condition are unable to have children, but they'll otherwise be perfectly healthy and able to lead a normal life.",47.9
"Developmental co-ordination disorder in children. Developmental co-ordination disorder (DCD), also known as dyspraxia, is a condition affecting physical co-ordination. It causes a child to perform less well than expected in daily activities for their age, and appear to move clumsily.DCD is thought to be around 3 or 4 times more common in boys than girls, and the condition sometimes runs in families.This topic is about DCD in children, although the condition often causes continued problems into adulthood. Find out more about DCD in adults.",66.0
"Long QT syndrome. Long QT syndrome is an inherited heart rhythm problem where the heart muscle takes longer than normal to recharge between beats. In some people, this can cause fainting or fits (seizures).Long QT syndrome is uncommon, affecting about 1 in every 2,000 people.",32.09090909
"Dry lips. Dry or sore lips are a common problem, especially during hot or cold weather. There are things you can try yourself that may help.",86.0
"Subdural haematoma. A subdural haematoma is a serious condition where blood collects between the skull and the surface of the brain. It's usually caused by a head injury.Symptoms of a subdural haematoma can include:a headache that keeps getting worse feeling and being sick confusion personality changes, such as being unusually aggressive or having rapid mood swings feeling drowsy loss of consciousness The symptoms can develop soon after a severe head injury (acute subdural haematoma), or very occasionally a few days or weeks after a more minor head injury (subacute or chronic subdural haematoma).Read more about the symptoms of a subdural haematoma.",15.2
Threadworms. Threadworms (pinworms) are tiny worms in your poo. They're common in children and spread easily. You can treat them without seeing your GP.,52.7
Feeling sick. Feeling sick (nausea) is common and usually goes away on its own. There are some things you can try that might help.,62.0
"Ejaculation problems. Ejaculation problems are common sexual problems in men.The 3 main types of ejacualtion problems are:premature ejaculation  delayed ejaculation  retrograde ejaculation  If you have a persistent problem with ejaculation, visit your GP, who will discuss the problem with you and may examine you or refer you to a specialist.",57.77777778
Double vision. Double vision (diplopia) is when you look at 1 object but can see 2 images. It may affect 1 eye or both eyes.,46.54545455
"SARS. SARS (severe acute respiratory syndrome) is caused by the SARS coronavirus, known as SARS CoV. Coronaviruses commonly cause infections in both humans and animals.There have been 2 self-limiting SARS outbreaks, which resulted in a highly contagious and potentially life-threatening form of pneumonia. Both happened between 2002 and 2004.Since 2004, there have not been any known cases of SARS reported anywhere in the world.The World Health Organization (WHO) continues to monitor countries throughout the world for any unusual disease activity. If there was another SARS outbreak, it should be possible to limit the spread of infection.",22.0
"Twitching eyes and muscles. Twitches are common and very rarely a sign of anything serious. They often go away on their own, but see a GP if a twitch lasts more than 2 weeks.",74.2
"Neuromyelitis optica. Neuromyelitis optica (NMO), also known as Devic's disease, is a rare condition that affects the spinal cord and the nerves of the eyes (optic nerves).It can cause a wide range of symptoms, such as weakness, blindness, nerve pain and muscle spasms. These will vary from person to person – some may only have one attack of symptoms and recover well, whereas others may be more severely affected and have a number of attacks that lead to disability. NMO can affect anyone at any age, but it's more common in women than men.",30.8
"Low sperm count. A low sperm count, also called oligozoospermia, is where a man has fewer than 15 million sperm per millilitre of semen.Having a low sperm count can make it more difficult to conceive naturally, although successful pregnancies can still occur.Problems with sperm, including a low sperm count and problems with sperm quality, are quite common. They're a factor in around 1 in 3 couples who are struggling to get pregnant.There are treatments available on the NHS or privately that can help you become a dad if you have a low sperm count.",63.36363636
Smelly urine. Smelly pee on its own is not usually a cause for concern. There are often things you can do to help your pee return to normal.,72.22222222
"Attention deficit hyperactivity disorder. Attention deficit hyperactivity disorder (ADHD) is a behavioural disorder that includes symptoms such as inattentiveness, hyperactivity and impulsiveness.Symptoms of ADHD tend to be noticed at an early age and may become more noticeable when a child's circumstances change, such as when they start school.Most cases are diagnosed when children are 6 to 12 years old.The symptoms of ADHD usually improve with age, but many adults who were diagnosed with the condition at a young age continue to experience problems.People with ADHD may also have additional problems, such as sleep and anxiety disorders.",69.54545455
"Breast cancer in men. Breast cancer is often thought of as something that only affects women, but men can get it in rare cases. It grows in the small amount of breast tissue men have behind their nipples.It usually happens in men over 60, but can very occasionally affect younger men.",38.5
Persistent trophoblastic disease and choriocarcinoma. Persistent trophoblastic disease and choriocarcinoma are very rare pregnancy-related tumours known as gestational trophoblastic tumours (GTTs).,23.2
"Pelvic organ prolapse. Pelvic organ prolapse is when 1 or more of the organs in the pelvis slip down from their normal position and bulge into the vagina.It can be the womb (uterus), bowel, bladder or top of the vagina. A prolapse is not life threatening, but it can cause pain and discomfort. Symptoms can usually be improved with pelvic floor exercises and lifestyle changes, but sometimes medical treatment is needed.",47.1
"Face blindness. Prosopagnosia, also known as face blindness, means you cannot recognise people's faces.Face blindness often affects people from birth and is usually a problem a person has for most or all of their life. It can have a severe impact on everyday life.Many people with prosopagnosia are not able to recognise family members, partners or friends.They may cope by using alternative strategies to recognise people, such as remembering the way they walk or their hairstyle, voice or clothing.But these types of strategies do not always work – for example, when a person with prosopagnosia meets someone in an unfamiliar location.",37.2
"Phobias. A phobia is an overwhelming and debilitating fear of an object, place, situation, feeling or animal.Phobias are more pronounced than fears. They develop when a person has an exaggerated or unrealistic sense of danger about a situation or object.If a phobia becomes very severe, a person may organise their life around avoiding the thing that's causing them anxiety. As well as restricting their day-to-day life, it can also cause a lot of distress.",57.63636364
"Slipped disc. A slipped disc is when a soft cushion of tissue between the bones in your spine pushes out. It's painful if it presses on nerves. It usually gets better slowly with rest, gentle exercise and painkillers.",52.3
"Osteomyelitis. Osteomyelitis is a painful bone infection. It usually goes away if treated early with antibiotics. If not, it can cause permanent damage.",38.8
"Leg ulcer. A leg ulcer is a long-lasting (chronic) sore that takes more than 2 weeks to heal. They usually develop on the inside of the leg, just above the ankle.The symptoms of a venous leg ulcer include pain, itching and swelling in the affected leg. There may also be discoloured or hardened skin around the ulcer, and the sore may produce a foul-smelling discharge.See your GP if you think you have a leg ulcer, as it'll need specialist treatment to help it heal.Your GP will examine your leg and may carry out additional tests to rule out other conditions.Find out how a venous leg ulcer is diagnosed",46.3
"MCADD. MCADD is a rare genetic condition where a person has problems breaking down fat to use as an energy source.This means that someone with MCADD can become very ill if their body's energy demands exceed their energy intake, such as during infections or vomiting illnesses when they're unable to eat.Problems occur because fat is only partially broken down, which leads to a lack of energy and a build-up of harmful substances in the body. MCADD is a lifelong condition that's present from birth. It's estimated to affect up to 1 in every 10,000 babies born in the UK and is usually picked up using the newborn blood spot test.MCADD stands for medium-chain acyl-CoA dehydrogenase deficiency.",33.4
"Baker's cyst. A Baker's cyst, also called a popliteal cyst, is a fluid-filled swelling that develops at the back of the knee.It's caused when the tissue behind the knee joint becomes swollen and inflamed. The swelling and inflammation can cause:pain in the knee and calf a build-up of fluid around the knee occasional locking or clicking in the knee joint However, sometimes a Baker's cyst may not cause any symptoms other than the fluid-filled swelling at the back of the knee.A Baker's cyst can sometimes burst (rupture), resulting in fluid leaking down into your calf. This can cause sharp pain, swelling and redness in your calf.",55.625
"Growing pains. Growing pains are common in children, mainly in the legs. They're harmless, but can be very painful. They usually stop by around age 12.",80.3
Premenstrual syndrome. PMS (premenstrual syndrome) is the name for the symptoms women can experience in the weeks before their period. Most women have PMS at some point. You can get help if it affects your daily life.,60.6
"Fainting. Fainting is when you pass out for a short time. It is not usually a sign of something serious, but if it happens regularly you should see a GP.",59.4
"Hernia 1 . A hernia occurs when an internal part of the body pushes through a weakness in the muscle or surrounding tissue wall.Your muscles are usually strong and tight enough to keep your organs and intestines in place, but a hernia can develop if there are any weak spots.",38.0
"Listeriosis. Listeriosis is a rare infection caused by bacteria called listeria. It usually goes away on its own, but can cause serious problems if you're pregnant or have a weak immune system.",46.11111111
"Phlebitis. Phlebitis means ""inflammation of a vein"".The vein becomes inflamed because there's blood clotting inside it or the vein walls are damaged.Superficial thrombophlebitis is the term for an inflamed vein near the surface of the skin (usually a varicose vein) caused by a blood clot.",57.5
Warts and verrucas. Warts and verrucas are small lumps on the skin that most people have at some point in their life. They usually go away on their own but may take months or even years.,80.33333333
"Learning disabilities. A learning disability affects the way a person learns new things throughout their lifetime. Find out how a learning disability can affect someone and where you can find support.A learning disability affects the way a person understands information and how they communicate. This means they can have difficulty:  understanding new or complex information learning new skills  coping independently Around 1.5 million people in the UK have a learning disability. It's thought up to 350,000 people have a severe learning disability. This figure is increasing.",57.63636364
Vaginitis. Vaginitis is soreness and swelling in and around the vagina. It's common and usually treatable.,67.90909091
"Blood in semen. It's unusual to find blood in your semen when you ejaculate, but try not to worry. It's usually only temporary and the cause is rarely anything serious.The semen may be blood stained, brownish-red in colour or have a pink tinge.This page is intended to give you a better idea of the possible causes, but you should always see a GP for a diagnosis.In many cases, no obvious cause can be found for blood in the semen and it'll clear up by itself.",72.7
"Idiopathic pulmonary fibrosis. Idiopathic pulmonary fibrosis (IPF) is a condition in which the lungs become scarred and breathing becomes increasingly difficult.It's not clear what causes it, but it usually affects people who are around 70 to 75 years old, and is rare in people under 50.Several treatments can help reduce the rate at which IPF gets worse, but there's currently no treatment that can stop or reverse the scarring of the lungs.",25.36363636
Peripheral arterial disease. Peripheral arterial disease (PAD) is a common condition where a build-up of fatty deposits in the arteries restricts blood supply to leg muscles. It's also known as peripheral vascular disease (PVD).,41.63636364
"Measles. Measles is a highly infectious viral illness that can be very unpleasant and sometimes lead to serious complications. It's now uncommon in the UK because of the effectiveness of vaccination.Anyone can get measles if they have not been vaccinated or have not had it before, although it's most common in young children.The infection usually clears in around 7 to 10 days.",48.55555556
"Pneumonia. Pneumonia is swelling (inflammation) of the tissue in one or both lungs. It's usually caused by a bacterial infection. It can also be caused by a virus, such as coronavirus (COVID-19).",29.0
"Club foot. Club foot (also called talipes) is a birth defect that can affect one or both feet. Early treatment usually helps correct it.If your baby has club foot, one or both feet points down and inwards with the sole of the foot facing backwards.Club foot isn't painful for babies, but if it isn't treated, it can become painful and make it difficult to walk as they get older.Club foot is quite common, affecting about 1 baby in every 1,000 born in the UK. Both feet are affected in about half of these babies.",56.18181818
Neurofibromatosis type 2. Neurofibromatosis type 2 (NF2) is a genetic condition that causes tumours to grow along your nerves. The tumours are usually non-cancerous (benign) but may cause a range of symptoms.Neurofibromatosis type 1 (NF1) is covered separately because it has different symptoms and causes. It's also much more common than NF2.,32.5
"Plantar fasciitis. Plantar fasciitis is where you have pain on the bottom of your foot, around your heel and arch. You can usually ease the pain yourself, but see a GP if the pain does not improve within 2 weeks.",59.66666667
"Anorexia nervosa. Anorexia is an eating disorder and serious mental health condition.People who have anorexia try to keep their weight as low as possible by not eating enough food or exercising too much, or both. This can make them very ill because they start to starve.They often have a distorted image of their bodies, thinking they are fat even when they are underweight.Men and women of any age can get anorexia, but it's most common in young women and typically starts in the mid-teens.",21.2
"Scleroderma. Scleroderma is an uncommon condition that results in hard, thickened areas of skin and sometimes problems with internal organs and blood vessels.Scleroderma is caused by the immune system attacking the connective tissue under the skin and around internal organs and blood vessels. This causes scarring and thickening of the tissue in these areas.There are several different types of scleroderma that can vary in severity. Some types are relatively mild and may eventually improve on their own, while others can lead to severe and life-threatening problems.There's no cure for scleroderma, but most people with the condition can lead a full, productive life. The symptoms of scleroderma can usually be controlled by a range of different treatments.",42.9
Hives. Hives rashes usually settle down within a few minutes to a few days. You can often treat hives yourself.,62.18181818
"Haemophilus influenzae type b. Haemophilus influenzae type b (Hib) is a bacterial infection that can cause a number of serious illnesses, particularly in young children.Hib infections used to be a serious health problem in the UK, but the routine immunisation against Hib, given to babies since 1992, means these infections are now rare. Of the small number of cases that do occur nowadays, most affect adults with long-term underlying medical conditions, rather than young children.",45.11111111
"Asbestosis. Asbestosis is a serious long-term lung condition caused by prolonged exposure to asbestos.Asbestos is a whitish material that was used in buildings for insulation, flooring and roofing in the past, but is now no longer used.While asbestos can be dangerous, it doesn't present a health risk if left undisturbed. But if material containing asbestos is damaged, it can release a fine dust that contains asbestos fibres.When the dust is breathed in, the asbestos fibres enter the lungs and can gradually damage them over time. But you would need prolonged exposure to asbestos fibres, usually over many years, before you develop asbestosis.",37.0
"Limping in children. If your child is limping, it's usually the sign of a minor injury such as a sprain or splinter. But see your GP if there's no obvious cause, as there may be a serious underlying medical condition.",45.63636364
"Oesophageal atresia and tracheo-oesophageal fistula. Oesophageal atresia is a rare birth defect that affects a baby's oesophagus (the tube through which food passes from the mouth to the stomach).The upper part of the oesophagus doesn't connect with the lower oesophagus and stomach. It usually ends in a pouch, which means food can't reach the stomach. It often happens along with another birth defect called a tracheo-oesophageal fistula, which is a connection between the lower part of the oesophagus and the windpipe (trachea).This causes air to pass from the windpipe to the oesophagus and stomach, and stomach acid to pass into the lungs.These defects mean the baby won't be able to swallow safely, if at all. They could also develop life-threatening problems such as choking and pneumonia if not treated quickly, so surgery will usually be carried out within a few days of birth.",14.18181818
"Polyhydramnios. Polyhydramnios is where there is too much amniotic fluid around the baby during pregnancy. Amniotic fluid is the fluid that surrounds your baby in the womb.Too much amniotic fluid is normally spotted during a check-up in the later stages of pregnancy.It is not usually a sign of anything serious, but you'll probably have some extra check-ups. You'll usually be advised to give birth in hospital.",63.09090909
Huntington's disease. Huntington's disease is a condition that stops parts of the brain working properly over time. It's passed on (inherited) from a person's parents.It gets gradually worse over time and is usually fatal after a period of up to 20 years.,17.9
"Labial fusion. Labial fusion, or labial adhesion, is when the small inner lips around the entrance to the vagina become sealed together.In some cases, this can completely seal the vaginal opening, leaving a very small gap at the front that pee passes through.It's fairly common in girls under 7 years old and is usually nothing to worry about.",62.0
"Early or delayed puberty. Puberty is when a child's body begins to develop and change as they become an adult.Signs of puberty include girls developing breasts and starting periods, and boys developing a larger penis and testicles, a deeper voice and a more muscular appearance.The average age for girls to start puberty is 11, while for boys the average age is 12. But it's perfectly normal for puberty to begin at any point between the ages of 8 and 13 in girls and 9 and 14 in boys.There's not usually any need to worry if puberty does not start around the average age, but it's a good idea to speak to your GP for advice if it starts before 8 or has not started by around 14.In some cases, early puberty or delayed puberty could be a sign of an underlying condition that may need to be treated.",69.6
"Hair dye reactions. Many hair dyes contain ingredients that can irriate your skin or cause an allergic reaction.It's important to be aware of this risk, and know what to do. Reactions to hair dye are avoidable if you follow some simple safety advice. This page offers advice to anyone who uses permanent or semi-permanent hair dye, especially darker-coloured dyes.",84.18181818
"Prader-Willi syndrome. Prader-Willi syndrome is a rare genetic condition that causes a wide range of physical symptoms, learning difficulties and behavioural problems. It's usually noticed shortly after birth.",38.5
"Brain abscess. A brain abscess is a pus-filled swelling in the brain. It usually occurs when bacteria or fungi enter the brain tissue after an infection or severe head injury.Although the risk of developing a brain abscess is extremely low in England, it is a life-threatening condition and should be diagnosed and treated as soon as possible.",12.09090909
"Catarrh. Catarrh is a build-up of mucus in an airway or cavity of the body.It usually affects the back of the nose, the throat or the sinuses (air-filled cavities in the bones of the face).It's often temporary, but some people experience it for months or years. This is known as chronic catarrh.Catarrh can be a nuisance and may be difficult to get rid of, but it's not harmful and there are treatments available.",64.6
Head lice and nits. Head lice and nits are very common in young children and their families. They do not have anything to do with dirty hair and are picked up by head-to-head contact.,81.88888889
"Respiratory tract infections. Respiratory tract infections (RTIs) can affect the sinuses, throat, airways or lungs. Most RTIs get better without treatment, but sometimes you may need to see your GP.",41.09090909
West Nile virus. West Nile virus (WNV) is spread by mosquitoes in many countries. There are usually no symptoms and it gets better without treatment.,72.14285714
Polymorphic light eruption. Polymorphic light eruption is a fairly common skin rash triggered by exposure to sunlight or artificial ultraviolet (UV) light.,58.72727273
"Dementia. Vascular dementia is a common type of dementia caused by reduced blood flow to the brain. It's estimated to affect around 150,000 people in the UK.Dementia is the name for problems with mental abilities caused by gradual changes and damage in the brain. It's rare in people under 65.Vascular dementia tends to get worse over time, although it's sometimes possible to slow it down.",23.45454545
"Panic disorder. Panic disorder is an anxiety disorder where you regularly have sudden attacks of panic or fear.Everyone experiences feelings of anxiety and panic at certain times. It's a natural response to stressful or dangerous situations.But for someone with panic disorder, feelings of anxiety, stress and panic occur regularly and at any time, often for no apparent reason.",43.0
Flu. You can often treat the flu without seeing a GP and should begin to feel better in about a week.,61.125
"Headaches 1. Many women experience headaches caused by changes in their hormones.According to Dr Anne MacGregor, formerly of the National Migraine Centre, more than half of women who get migraines notice a link with their periods.These so-called ""menstrual migraines"" tend to be particularly severe.""Migraine is most likely to develop in either the 2 days leading up to a period or the first 3 days during a period. This is because of the natural drop in oestrogen levels at these times. ""The attacks are typically more severe than migraines at other times of the month and are more likely to come back the next day,"" she says.Periods are not the only trigger of hormone headaches. Other causes include:the combined oral contraceptive pill – some women find their headaches improve while they're on the pill, but others report more frequent attacks, especially in the pill-free week, when oestrogen levels dropthe menopause – headaches usually worsen as you approach the menopause, partly because periods come more often and partly because the normal hormone cycle is disruptedpregnancy – headaches can get worse in the first few weeks of pregnancy, but they usually improve or stop completely during the last 6 months; they do not harm the baby",46.5
Head injury and concussion. Most head injuries are not serious. You do not usually need to go to hospital and should make a full recovery within 2 weeks.,64.54545455
"Ichthyosis. Ichthyosis is a condition that causes widespread and persistent thick, dry, ""fish-scale"" skin.The skin of a person with ichthyosis is rough, dry and scaly and needs to be regularly moisturised  There are at least 20 different types of ichthyosis. Some types are inherited at birth and other types are acquired during adulthood.There's no cure for ichthyosis, but a daily skincare routine usually keeps the symptoms mild and manageable.",57.25
"Carbon monoxide poisoning. Carbon monoxide is a poisonous gas that has no smell or taste. Breathing it in can make you unwell, and it can kill if you're exposed to high levels.Every year there are around 60 deaths from accidental carbon monoxide poisoning in England and Wales.After carbon monoxide is breathed in, it enters your bloodstream and mixes with haemoglobin (the part of red blood cells that carry oxygen around your body) to form carboxyhaemoglobin.When this happens, the blood is no longer able to carry oxygen, and this lack of oxygen causes the body's cells and tissue to fail and die.",12.625
"Heart valve problems. The mitral valve is a small flap in the heart that stops blood flowing the wrong way. Problems with it can affect how blood flows around the body.The main problems that affect the mitral valve are:mitral valve prolapse – the valve becomes too floppy mitral regurgitation – the valve leaks and blood flows the wrong way mitral stenosis – the valve does not open as wide as it should These conditions can be serious, but they're often treatable. In some cases, mitral valve surgery may be needed.",32.72727273
"Typhus. Typhus is an infection spread by lice, fleas or mites. It's found in many countries, but is very rare in the UK. It can be serious, but most people make a full recovery if treated quickly.",42.36363636
"Migraine. A migraine is usually a moderate or severe headache felt as a throbbing pain on 1 side of the head.Many people also have symptoms such as feeling sick, being sick and increased sensitivity to light or sound.Migraine is a common health condition, affecting around 1 in every 5 women and around 1 in every 15 men. They usually begin in early adulthood.There are several types of migraine, including:migraine with aura – where there are specific warning signs just before the migraine begins, such as seeing flashing lightsmigraine without aura – the most common type, where the migraine happens without the specific warning signsmigraine aura without headache, also known as silent migraine – where an aura or other migraine symptoms are experienced, but a headache does not developSome people have migraines frequently, up to several times a week. Other people only have a migraine occasionally.It's possible for years to pass between migraine attacks.",59.5
"Middle East respiratory syndrome. Middle East respiratory syndrome coronavirus (also known as MERS or MERS-CoV) is a rare but severe respiratory illness. It can start with a fever and cough, which can develop into pneumonia and breathing difficulties. MERS was first identified in 2012 in the Middle East and is most common in that region. The risk of infection with MERS to people in the UK is very low. How do you catch MERS?MERS is spread between animals and people. There's evidence that camels in the Middle East are the main source of the virus. MERS can also be passed from person to person through cough droplets. But it doesn't seem to be very contagious between people unless they're in close contact.     There have been 5 cases of MERS in the UK since 2012. The most recent case was identified in August 2018, with previous cases diagnosed in 2012-13.Symptoms of MERSSymptoms include:fevercoughdifficulty breathingdiarrhoea and vomitingYou should call your GP or NHS 111 if you have symptoms and believe you could have caught the infection – for instance, if you have recently been to the Middle East or have been in contact with someone with a confirmed infection.Treatment for MERSThere's no specific treatment for MERS. Treatment aims to relieve the symptoms. Around 36 to 40% of people who get MERS die as a result of the infection.   Advice to travellers going to the Middle EastAll travellers, particularly those with long-term medical conditions, should practise good hygiene. This means regularly washing your hands with soap and water, especially after visiting farms, barns or market areas. You should also:avoid contact with camelsavoid raw camel milk and/or camel productsavoid eating or drinking any type of raw milk, raw milk products, and any food that may be contaminated with animal secretions, unless it's been peeled and cleaned and/or thoroughly cooked Advice to travellers returning from the Middle EastIf you develop a fever, cough or difficulty breathing within 14 days of returning from the Middle East, you should get medical advice. Call NHS 111 or your GP.",29.09090909
"Hodgkin lymphoma. Hodgkin lymphoma is an uncommon cancer that develops in the lymphatic system, which is a network of vessels and glands spread throughout your body.The lymphatic system is part of your immune system. Clear fluid called lymph flows through the lymphatic vessels and contains infection-fighting white blood cells, known as lymphocytes.In Hodgkin lymphoma, B-lymphocytes (a particular type of lymphocyte) start to multiply in an abnormal way and begin to collect in certain parts of the lymphatic system, such as the lymph nodes (glands). The affected lymphocytes lose their infection-fighting properties, making you more vulnerable to infection.The most common symptom of Hodgkin lymphoma is a painless swelling in a lymph node, usually in the neck, armpit or groin.Read more about the symptoms of Hodgkin lymphoma.",16.11111111
Mumps. Mumps is a contagious viral infection that used to be common in children before the introduction of the MMR vaccine.,40.1
Bleeding from the bottom. A small amount of one-off bleeding from the bottom is not usually a serious problem. But a GP can check.,54.63636364
"Obsessive compulsive disorder. Obsessive compulsive disorder (OCD) is a common mental health condition where a person has obsessive thoughts and compulsive behaviours.OCD can affect men, women and children. Some people start having symptoms early, often around puberty, but it usually starts during early adulthood.OCD can be distressing and significantly interfere with your life, but treatment can help you keep it under control.",59.45454545
"Giardiasis. Giardiasis is a tummy bug that causes symptoms like diarrhoea, farting and bloating. It usually goes away in about a week if it's treated, but can sometimes last much longer.",68.88888889
"Dyslexia. Dyslexia is a common learning difficulty that can cause problems with reading, writing and spelling.It's a specific learning difficulty, which means it causes problems with certain abilities used for learning, such as reading and writing. Unlike a learning disability, intelligence isn't affected.It's estimated up to 1 in every 10 people in the UK has some degree of dyslexia.Dyslexia is a lifelong problem that can present challenges on a daily basis, but support is available to improve reading and writing skills and help those with the problem be successful at school and work.",73.9
"Pericarditis. Pericarditis causes chest pain and a high temperature (fever). It's not usually serious, but it can cause complications. Get medical advice if you have chest pain.",47.8
Red eye. A red eye is usually nothing to worry about and often gets better on its own. But sometimes it can be more serious and you'll need to get medical help.,81.88888889
"Goitre. A goitre (sometimes spelled ""goiter"") is a swelling of the thyroid gland that causes a lump in the front of the neck. The lump will move up and down when you swallow.The thyroid gland is a small butterfly-shaped gland in the neck, just in front of the windpipe (trachea). It produces thyroid hormones, which help regulate the body's metabolism, the chemical processes that occur in the body.",45.0
"Thyroiditis. Thyroiditis is swelling (inflammation) of the thyroid gland. It causes either unusually high or low levels of thyroid hormones in the blood.The thyroid is a butterfly-shaped gland in the neck. It produces hormones that control the body's growth and metabolism. These hormones affect processes such as heart rate and body temperature, and convert food into energy to keep the body going.There are several different types of thyroiditis, covered below.",46.0
"Cavernous sinus thrombosis. Cavernous sinus thrombosis is a blood clot in the cavernous sinuses. It can be life-threatening.The cavernous sinuses are hollow spaces located under the brain, behind each eye socket. A major blood vessel called the jugular vein carries blood through the cavernous sinuses away from the brain.A blood clot can develop when an infection in the face or skull spreads to the cavernous sinuses. The blood clot develops to prevent the infection spreading further, but it can restrict the blood flow from the brain, which can damage the brain, eyes and nerves running between them. Sometimes, clots can develop without infection. Read more about the causes of cavernous sinus thrombosis.Symptoms of cavernous sinus thrombosis include:a sharp and severe headache, particularly around the eye swelling and bulging of the eye(s) and the surrounding tissues eye pain that's often severe double visionRead more about the symptoms of cavernous sinus thrombosis.",24.3
Eye floaters. Dots and lines (floaters) or flashes of light in the eyes are common. They're not usually serious.,69.8
"Black eye. A black eye is bruising and swelling around your eye, usually caused by a blow to the area, such as a punch or fall. It should get better within 2 to 3 weeks.",90.0
